url_count,url_length_mean,has_suspicious_tld,has_ip_in_url,has_url_shortener,num_subdomains,sender_domain_mismatch,sender_reply_mismatch,external_sender,spf_pass,dkim_pass,dmarc_pass,subject_length,body_length,num_html_links,has_urgency_keyword,has_credential_request,has_money_keyword,spelling_errors,num_uppercase_words,has_attachment,attachment_is_macro,attachment_is_exe,attachment_size_kb,num_received_hops,is_reply,is_forwarded,label
4,86.66910303682212,1,0,0,3,1,1,1,1,1,0,58,270,12,1,0,0,4,14,0,0,0,605.4233618872152,4,1,0,PHISHING
4,91.41421258702978,1,0,0,2,1,0,1,0,1,0,92,111,17,1,1,1,2,14,1,0,0,457.3895166866856,5,0,0,PHISHING
7,77.85400726108422,1,0,NAN,3,1,0,1,1,0,0,57,1255,7,1,0,0,2,0,0,0,0,137.117588190326,8,0,0,PHISHING
6,62.71461331063056,0,0,0,1,1,0,0,0,1,0,34,1646,9,0,1,1,1,4,1,1,1,446.4170172576545,7,0,0,PHISHING
1,53.808887502041884,0,0,0,2,0,1,0,0,0,1,79,436,0,1,0,0,0,5,1,0,0,100.42823451061798,3,0,0,BENIGN
6,81.62223009173803,1,0,0,3,1,1,1,1,0,0,94,1496,19,1,0,0,4,2,0,1,1,103.23447255918323,4,0,1,PHISHING
1,111.37796828995548,0,0,0,3,1,1,1,1,0,0,46,1339,7,1,1,0,6,8,1,1,0,0.0,3,0,0,PHISHING
4,77.58420589379999,0,0,1,2,1,1,1,0,0,1,30,419,9,1,1,1,6,3,1,0,0,167.16432224109326,3,0,0,PHISHING
4,75.58775543405595,0,0,1,3,0,0,1,1,0,0,33,1737,11,0,0,0,7,4,0,0,0,469.62514485128145,3,1,0,PHISHING
3,38.13450853564761,1,0,0,1,0,0,0,1,1,1,27,1025,7,0,0,0,2,4,0,0,0,352.531306472755,4,1,0,BENIGN
4,52.67824427473128,1,1,1,2,1,1,1,0,0,1,46,326,8,0,0,1,1,5,1,0,0,134.1171198288606,6,0,0,PHISHING
1,27.325445653277015,0,0,1,1,1,0,1,1,1,0,51,1602,0,0,0,0,3,7,0,0,0,593.7689758888091,2,0,0,BENIGN
3,89.80427286654506,1,0,0,3,0,0,1,1,0,0,47,1400,14,1,0,0,0,5,1,0,0,281.29484151072165,4,0,0,PHISHING
6,82.57703575926837,1,0,1,3,1,1,1,1,0,1,44,493,10,1,0,0,4,8,0,1,0,117.57704356913166,3,0,0,PHISHING
4,116.14735455677129,0,0,0,3,1,1,1,1,0,0,68,1391,9,1,1,0,5,5,0,1,1,549.3786354858153,8,0,0,PHISHING
5,61.66443655498334,1,0,1,2,0,0,1,0,0,0,102,272,11,0,1,1,6,5,1,1,0,238.16435151202586,5,0,0,PHISHING
1,42.1298401995741,0,0,1,1,0,0,1,1,0,0,22,322,1,0,0,1,2,3,1,1,0,322.2094270399371,5,0,0,BENIGN
2,53.36999912451316,0,0,0,4,1,1,1,0,0,0,45,412,13,1,0,1,8,11,0,0,0,93.37584656858682,5,0,0,PHISHING
1,79.13646502123477,1,0,0,1,1,0,1,0,0,0,33,1018,2,1,0,0,5,8,0,1,0,115.67619312768468,7,1,1,PHISHING
3,45.76713087828243,0,0,0,2,0,0,1,1,1,0,79,1918,5,0,0,0,0,7,0,0,0,0.0,5,0,0,BENIGN
6,54.609096760032955,0,0,1,3,0,0,1,1,1,0,99,105,18,1,1,0,4,4,1,0,0,500.9551407082218,3,1,0,PHISHING
3,64.91529198401537,0,0,0,2,0,0,0,0,1,1,73,2082,6,0,0,0,2,1,0,0,0,254.00338043670106,2,1,1,BENIGN
3,32.90101643538941,0,0,0,1,0,0,0,1,1,1,17,1474,10,1,0,0,1,3,0,0,0,124.58081325811916,5,1,0,BENIGN
7,58.895274328253564,1,0,0,4,1,0,1,0,0,0,87,1671,18,1,0,0,3,1,1,1,0,152.45744718287048,6,0,0,PHISHING
1,76.1547079358063,0,0,0,1,0,0,0,1,1,1,92,450,9,1,0,0,0,1,1,0,0,211.7360799887682,2,0,0,BENIGN
3,45.09508593543403,0,0,0,2,0,0,0,1,1,1,28,756,8,1,0,0,2,2,1,0,0,96.5345613117247,3,1,0,BENIGN
0,69.24314522476811,0,0,0,1,0,0,0,1,1,0,33,1822,0,0,0,0,2,3,1,0,0,142.58277607630248,2,0,0,BENIGN
2,79.17229175053961,1,0,0,2,1,1,0,1,0,1,25,251,18,1,0,1,5,12,1,1,1,96.03326628864252,6,1,0,PHISHING
